iter	RMSE
0	14.5152257
1	13.79541165
2	13.09561492
3	12.44268991
4	11.83407595
5	11.2908621
6	10.76212175
7	10.27647377
8	9.83956059
9	9.437905724
10	9.066934477
11	8.698814738
12	8.359053049
13	8.049470538
14	7.758974177
15	7.494145665
16	7.266802732
17	7.041109067
18	6.834854229
19	6.640962866
20	6.457728904
21	6.296408602
22	6.145481312
23	5.998548842
24	5.86781805
25	5.753585801
26	5.645142337
27	5.548912052
28	5.450835081
29	5.367904625
30	5.290156873
31	5.219107024
32	5.149096944
33	5.085841052
34	5.034538798
35	4.985592644
36	4.939663586
37	4.902528635
38	4.862044859
39	4.824063077
40	4.792494048
41	4.759845877
42	4.730707379
43	4.706554875
44	4.686222782
45	4.666058833
46	4.650820718
47	4.63405465
48	4.619453742
49	4.607982328
50	4.59593969
51	4.587903997
52	4.578396505
53	4.568656516
54	4.556695771
55	4.548973653
56	4.54041752
57	4.533144693
58	4.525930565
59	4.518939583
60	4.513985021
61	4.510361737
62	4.505688857
63	4.501129175
64	4.497816259
65	4.493418639
66	4.489396383
67	4.486642383
68	4.482629629
69	4.480111923
70	4.476870184
71	4.473902855
72	4.471715715
73	4.470665806
74	4.468729711
75	4.466901996
76	4.464290417
77	4.462891057
78	4.462143004
79	4.460748346
80	4.459456034
81	4.458269277
82	4.456679848
83	4.455134965
84	4.453509424
85	4.45171284
86	4.45008497
87	4.448872787
88	4.447955718
89	4.446564666
90	4.445678577
91	4.444614861
92	4.443208339
93	4.442677482
94	4.441913484
95	4.44108661
96	4.440032988
97	4.438605963
98	4.43801449
99	4.437307534
100	4.436228419
101	4.435412998
102	4.434441894
103	4.433625065
104	4.432892487
105	4.432369831
106	4.431508554
107	4.431241963
108	4.430389746
109	4.429515963
110	4.428760518
111	4.428025496
112	4.427419201
113	4.426259354
114	4.425225377
115	4.424540266
116	4.423781827
117	4.422940085
118	4.421908304
119	4.421238636
120	4.420643242
121	4.420459375
122	4.419934209
123	4.419462752
124	4.419002128
125	4.418263743
126	4.417579564
127	4.416645331
128	4.416565806
129	4.416025002
130	4.415929058
131	4.41522588
132	4.414783633
133	4.413763139
134	4.41323916
135	4.41254884
136	4.411945268
137	4.41140592
138	4.411396096
139	4.41053829
140	4.409910056
141	4.40967579
142	4.408806132
143	4.408150842
144	4.407302936
145	4.406785818
146	4.406253117
147	4.405792754
148	4.405353615
149	4.404692716
150	4.404284702
151	4.403466174
152	4.402810822
153	4.402013611
154	4.40155351
155	4.401186163
156	4.400542705
157	4.39969343
158	4.398976679
159	4.398419928
160	4.397831046
161	4.397294653
162	4.396998682
163	4.396400112
164	4.395797721
